generation,trial_id,accuracy,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
1,1,0.8305,0.000190397,0.1,16,64,0.05,"['q_lin', 'v_lin']"
1,2,0.69,3.38E-05,0.1,16,64,0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,3,0.897,0.000417059,0,8,32,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,4,0.7975,0.000218813,0,16,16,0.05,"['q_lin', 'v_lin']"
1,5,0.834,0.000230755,0.06,8,64,0.1,"['q_lin', 'v_lin']"
1,6,0.899,0.000305735,0,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,7,0.7925,0.000155784,0,16,32,0,"['q_lin', 'v_lin']"
1,8,0.613,2.20E-05,0.1,8,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,9,0.8955,0.000275622,0,24,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,10,0.8375,0.00030096,0.1,4,32,0,"['q_lin', 'v_lin']"
1,11,0.8795,0.000197395,0,24,32,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,12,0.7135,7.48E-05,0.1,4,96,0.2,"['q_lin', 'v_lin']"
1,13,0.439,7.73E-06,0.1,16,64,0.2,"['q_lin', 'v_lin']"
1,14,0.823,0.000182441,0,24,64,0.05,"['q_lin', 'v_lin']"
1,15,0.8015,0.000158936,0.06,16,64,0.2,"['q_lin', 'v_lin']"
1,16,0.7045,6.42E-05,0.06,16,64,0.2,"['q_lin', 'v_lin']"
1,17,0.8605,0.000263753,0.06,2,16,0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,18,0.8655,0.000160606,0.06,24,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,19,0.786,0.000118255,0,8,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,20,0.893,0.000318535,0.1,16,32,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,21,0.8875,0.000305735,0,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,22,0.7975,0.000298896,0,2,8,0,"['q_lin', 'v_lin']"
2,23,0.8005,0.000305735,0,2,8,0,"['q_lin', 'v_lin']"
2,24,0.8035,0.000295778,0,2,8,0,"['q_lin', 'v_lin']"
2,25,0.7965,0.000295894,0,2,8,0,"['q_lin', 'v_lin']"
2,26,0.792,0.000300868,0,2,8,0,"['q_lin', 'v_lin']"
2,27,0.8295,0.000425367,0,2,8,0,"['q_lin', 'v_lin']"
2,28,0.804,0.000304551,0,2,8,0,"['q_lin', 'v_lin']"
