learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,generation,accuracy,trainable_params
1.251760867078911e-05,0.06962243226370528,6,67,0.07397543441004568,"['q_lin', 'v_lin']",1,0,0.511,705798
9.33718995509114e-05,0.04982722297980512,2,73,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",2,0,0.8175,724230
0.00012677943044302076,0.0947101686499893,15,58,0.035237620856937914,"['q_lin', 'v_lin']",3,0,0.7935,871686
0.00016494289747839868,0.03758582856764489,5,28,0.10248606925384501,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",4,0,0.8615,917766
3.0097334203114307e-05,0.038685180691791256,18,42,0.11503178504383516,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",5,0,0.66,1756422
1.7388666417742886e-05,0.057926785991497844,7,15,0.1678196402873488,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",6,0,0.532,1046790
5.867947901268819e-05,0.007704493047485295,21,21,0.19764628686858415,"['q_lin', 'v_lin']",7,0,0.6555,982278
2.3349248131625957e-05,0.06227476630912801,22,50,0.06603646953238758,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",8,0,0.6025,2014470
3.752957127717077e-05,0.0848359712065395,12,14,0.17527728168876222,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",9,0,0.6355,1369350
7.677016397577686e-05,0.018600798898847283,21,17,0.19383488892517622,"['q_lin', 'v_lin']",10,0,0.679,982278
6.291619320594505e-05,0.08993664739961356,13,63,0.008268602897320431,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",11,0,0.7725,1433862
0.00012236295279758241,0.008364810316354887,6,90,0.017245559205880046,"['q_lin', 'v_lin']",12,0,0.7875,705798
0.00011694765800577758,0.03075231098304746,24,76,0.08494883990746237,"['q_lin', 'v_lin']",13,0,0.7905,1037574
3.358063366630148e-05,0.010575605111964226,5,24,0.14691814335741393,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",14,0,0.6045,917766
2.8115519731263856e-05,0.05323433540620756,10,66,0.16873696944119249,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",15,0,0.6595,1240326
2.199359289490454e-05,0.0033409067190833144,24,34,0.16949171563472093,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",16,0,0.5645,2143494
4.282772838014498e-05,0.09352062536450541,14,41,0.11885035125363441,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",17,0,0.693,1498374
0.00018292848353155562,0.03273498594605281,13,14,0.03716089358565649,"['q_lin', 'v_lin']",18,0,0.7805,834822
0.0001577318342129634,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",19,0,0.887,788742
4.827736696118855e-05,0.018778459561315033,8,57,0.16454690097211383,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",20,0,0.71,1111302
4.282772838014498e-05,0.010575605111964226,5,24,0.11885035125363441,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",21,1,0.6615,917766
3.358063366630148e-05,0.09352062536450541,14,41,0.14691814335741393,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",22,1,0.6825,1498374
5e-06,0.03075231098304746,24,76,0.08494883990746237,"['q_lin', 'v_lin']",23,1,0.417,1037574
0.00012236295279758241,0.008364810316354887,6,90,0.017245559205880046,"['q_lin', 'v_lin']",24,1,0.7885,705798
6.291619320594505e-05,0.008364810316354887,13,63,0.008268602897320431,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",25,1,0.784,1433862
0.00012236295279758241,0.08993664739961356,6,90,0.017245559205880046,"['q_lin', 'v_lin']",26,1,0.797,705798
1.251760867078911e-05,0.024102597532532744,6,67,0.19764628686858415,"['q_lin', 'v_lin']",27,1,0.5155,705798
5.867947901268819e-05,0.007704493047485295,21,21,0.07397543441004568,"['q_lin', 'v_lin']",28,1,0.654,982278
4.827736696118855e-05,0.0,6,57,0.16454690097211383,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",29,1,0.706,982278
1.251760867078911e-05,0.06962243226370528,8,67,0.07397543441004568,"['q_lin', 'v_lin']",30,1,0.502,742662
0.00018292848353155562,0.08993664739961356,13,63,0.008268602897320431,"['q_lin', 'v_lin']",31,1,0.813,834822
6.291619320594505e-05,0.03273498594605281,13,14,0.03716089358565649,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",32,1,0.689,1433862
9.33718995509114e-05,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin']",33,1,0.743,650502
0.0001577318342129634,0.04982722297980512,2,73,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",34,1,0.8745,724230
4.827736696118855e-05,0.018778459561315033,8,57,0.17527728168876222,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",35,1,0.7135,1111302
3.752957127717077e-05,0.0848359712065395,12,13,0.16454690097211383,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",36,1,0.6065,1369350
5.867947901268819e-05,0.03075231098304746,21,21,0.19764628686858415,"['q_lin', 'v_lin']",37,1,0.649,982278
0.00011694765800577758,0.007704493047485295,24,76,0.15670697369609138,"['q_lin', 'v_lin']",38,1,0.7835,1037574
0.00012677943044302076,0.0947101686499893,15,93,0.035237620856937914,"['q_lin', 'v_lin']",39,1,0.8015,871686
0.0001577318342129634,0.018775314618804096,3,58,0.04668509357991797,"['q_lin', 'v_lin']",40,1,0.7895,650502
1.251760867078911e-05,0.04982722297980512,2,73,0.08647776779028804,"['q_lin', 'v_lin']",41,2,0.5305,632070
0.0001577318342129634,0.06962243226370528,6,67,0.07397543441004568,"['q_lin', 'v_lin']",42,2,0.79,705798
9.33718995509114e-05,0.018775314618804096,3,93,0.10248606925384501,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",43,2,0.827,788742
0.00016494289747839868,0.03758582856764489,5,28,0.04668509357991797,"['q_lin', 'v_lin']",44,2,0.791,687366
0.0001577318342129634,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",45,2,0.871,788742
0.0002,0.0947101686499893,15,93,0.035237620856937914,"['q_lin', 'v_lin']",46,2,0.848,871686
0.00012236295279758241,0.08993664739961356,6,93,0.04668509357991797,"['q_lin', 'v_lin']",47,2,0.7875,705798
0.0001577318342129634,0.018775314618804096,3,90,0.017245559205880046,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",48,2,0.872,788742
0.0001577318342129634,0.0,5,24,0.04668509357991797,"['q_lin', 'v_lin']",49,2,0.775,687366
5e-06,0.018775314618804096,3,58,0.11885035125363441,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",50,2,0.385,788742
1.251760867078911e-05,0.04982722297980512,8,67,0.07397543441004568,"['q_lin', 'v_lin']",51,2,0.5205,742662
0.0001577318342129634,0.06962243226370528,2,73,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",52,2,0.8725,724230
0.00012236295279758241,0.08993664739961356,6,90,0.035237620856937914,"['q_lin', 'v_lin']",53,2,0.7835,705798
0.00012677943044302076,0.0947101686499893,15,58,0.017245559205880046,"['q_lin', 'v_lin']",54,2,0.7915,871686
0.00012677943044302076,0.008364810316354887,6,90,0.017245559205880046,"['q_lin', 'v_lin']",55,2,0.7855,705798
0.00012236295279758241,0.0947101686499893,15,93,0.035237620856937914,"['q_lin', 'v_lin']",56,2,0.797,871686
9.33718995509114e-05,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",57,2,0.8225,788742
0.00016494289747839868,0.03758582856764489,4,28,0.08724207630767783,"['q_lin', 'v_lin']",58,2,0.7865,668934
0.00018292848353155562,0.08993664739961356,13,14,0.008268602897320431,"['q_lin', 'v_lin']",59,2,0.7795,834822
0.00018292848353155562,0.03273498594605281,13,63,0.03716089358565649,"['q_lin', 'v_lin']",60,2,0.818,834822
0.0001577318342129634,0.018775314618804096,3,73,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",61,3,0.8575,788742
0.0001577318342129634,0.06962243226370528,2,58,0.03174579912197418,"['q_lin', 'v_lin']",62,3,0.781,632070
0.00016494289747839868,0.03758582856764489,5,28,0.04668509357991797,"['q_lin', 'v_lin']",63,3,0.784,687366
0.0002,0.018775314618804096,3,93,0.04668509357991797,"['q_lin', 'v_lin']",64,3,0.832,650502
5e-06,0.0,5,24,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",65,3,0.3525,917766
5e-06,0.04982722297980512,2,73,0.04668509357991797,"['q_lin', 'v_lin']",66,3,0.3525,632070
0.00012236295279758241,0.08993664739961356,6,90,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",67,3,0.857,982278
9.33718995509114e-05,0.018775314618804096,3,93,0.017245559205880046,"['q_lin', 'v_lin']",68,3,0.757,650502
9.33718995509114e-05,0.018775314618804096,3,90,0.10248606925384501,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",69,3,0.8305,788742
0.0001577318342129634,0.018775314618804096,3,93,0.017245559205880046,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",70,3,0.8775,788742
5e-06,0.0,4,24,0.04668509357991797,"['q_lin', 'v_lin']",71,3,0.3715,668934
0.0001577318342129634,0.08317284756983126,3,90,0.017245559205880046,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",72,3,0.87,788742
1.251760867078911e-05,0.04982722297980512,3,93,0.04668509357991797,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",73,3,0.552,788742
5e-06,0.018775314618804096,2,73,0.08647776779028804,"['q_lin', 'v_lin']",74,3,0.352,632070
0.00012236295279758241,0.008364810316354887,6,90,0.017245559205880046,"['q_lin', 'v_lin']",75,3,0.79,705798
0.0001577318342129634,0.04982722297980512,2,72,0.08647776779028804,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",76,3,0.868,724230
0.0001577318342129634,0.06962243226370528,6,67,0.07397543441004568,"['q_lin', 'v_lin']",77,3,0.803,705798
0.00012236295279758241,0.008364810316354887,6,90,0.017245559205880046,"['q_lin', 'v_lin']",78,3,0.7915,705798
