learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,val_accuracy,pso_epoch
8.116262258099887e-05,0.1,16,32,0.0,"['q_lin', 'v_lin']",1,0.7195,1
0.00016816410175208015,0.0,2,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",2,0.8005,1
9.665329700123683e-05,0.1,2,32,0.1,"['q_lin', 'v_lin']",3,0.7155,1
6.787661614294043e-05,0.0,16,32,0.0,"['q_lin', 'v_lin']",4,0.684,1
0.00011387495307522314,0.0,24,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",5,0.8455,1
8.384868504100159e-05,0.0,24,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",6,0.751,1
1.1049202253484457e-05,0.1,16,64,0.2,"['q_lin', 'v_lin']",7,0.509,1
6.908664112597582e-05,0.0,16,64,0.2,"['q_lin', 'v_lin']",8,0.703,1
0.00010931923758257887,0.06,2,8,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",9,0.746,1
5.347165144340827e-05,0.0,4,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",10,0.637,1
0.0001634136294811719,0.1,4,8,0.0,"['q_lin', 'v_lin']",11,0.757,1
3.277441979339974e-05,0.06,24,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",12,0.604,1
6.411969393171885e-05,0.0,16,32,0.0,"['q_lin', 'v_lin']",13,0.681,1
0.00013770575400711693,0.1,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",14,0.861,1
1.7747276895405145e-05,0.06,16,8,0.1,"['q_lin', 'v_lin']",15,0.463,1
7.480260669954911e-05,0.0,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",16,0.8215,1
0.00018107943086103278,0.06,4,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",17,0.835,1
0.0001252215213353221,0.0,2,64,0.0,"['q_lin', 'v_lin']",18,0.7625,1
7.182594265026087e-05,0.1,16,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",19,0.8195,1
0.00017948884548365154,0.06,16,32,0.1,"['q_lin', 'v_lin']",20,0.805,1
1e-05,0.1,8,96,0.0,"['q_lin', 'v_lin']",21,0.526,2
1e-05,0.0,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",22,0.5405,2
0.0002,0.06,2,64,0.1,"['q_lin', 'v_lin']",23,0.8065,2
1e-05,0.06,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",24,0.541,2
0.0002,0.1,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",25,0.8765,2
1e-05,0.06,8,64,0.05,"['q_lin', 'v_lin']",26,0.496,2
