rank,seed_run,seed,accuracy,learning_rate,warmup_ratio,rank_param,alpha,dropout,target_modules,original_accuracy
1,1,10142,0.8145,0.00018139168971437658,0.0,8,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.897
1,2,10143,0.8095,0.00018139168971437658,0.0,8,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.897
1,3,10144,0.8115,0.00018139168971437658,0.0,8,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.897
2,1,10242,0.7805,0.00019303668508847168,0.0,16,16,0.1,"['q_lin', 'v_lin']",0.896
2,2,10243,0.784,0.00019303668508847168,0.0,16,16,0.1,"['q_lin', 'v_lin']",0.896
2,3,10244,0.791,0.00019303668508847168,0.0,16,16,0.1,"['q_lin', 'v_lin']",0.896
3,1,10342,0.8585,0.00011248752376776638,0.06,8,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.894
3,2,10343,0.8675,0.00011248752376776638,0.06,8,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.894
3,3,10344,0.851,0.00011248752376776638,0.06,8,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.894
4,1,10442,0.8885,0.00019269966735853386,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.8935
4,2,10443,0.896,0.00019269966735853386,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.8935
4,3,10444,0.8855,0.00019269966735853386,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.8935
5,1,10542,0.818,0.00017117494713119174,0.1,8,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.8925
5,2,10543,0.8205,0.00017117494713119174,0.1,8,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.8925
5,3,10544,0.823,0.00017117494713119174,0.1,8,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",0.8925
